"Date","Price","Open","High","Low","Vol.","Change %"
"May 23, 2014","1,632.0","1,636.0","1,646.0","1,595.0","16.86M","-0.79%"
"May 22, 2014","1,645.0","1,637.0","1,649.0","1,628.0","12.39M","1.92%"
"May 21, 2014","1,614.0","1,614.0","1,619.0","1,588.0","10.35M","-0.68%"
"May 20, 2014","1,625.0","1,635.0","1,638.0","1,620.0","7.95M","-0.12%"
"May 19, 2014","1,627.0","1,651.0","1,652.0","1,613.0","9.87M","-1.15%"
"May 16, 2014","1,646.0","1,648.0","1,652.0","1,624.0","15.76M","-2.89%"
"May 15, 2014","1,695.0","1,699.0","1,706.0","1,658.0","29.34M","-6.09%"
"May 14, 2014","1,805.0","1,798.0","1,811.0","1,780.0","6.98M","1.06%"
"May 13, 2014","1,786.0","1,783.0","1,801.0","1,775.0","6.97M","1.82%"
"May 12, 2014","1,754.0","1,768.0","1,774.0","1,752.0","4.66M","-0.57%"
"May 09, 2014","1,764.0","1,770.0","1,787.0","1,763.0","6.49M","-0.11%"
"May 08, 2014","1,766.0","1,771.0","1,778.0","1,762.0","5.11M","0.34%"
"May 07, 2014","1,760.0","1,810.0","1,813.0","1,758.0","8.78M","-2.22%"
"May 02, 2014","1,800.0","1,743.0","1,807.0","1,728.0","20.36M","-0.55%"
"May 01, 2014","1,810.0","1,785.0","1,817.0","1,784.0","5.90M","1.00%"
"Apr 30, 2014","1,792.0","1,835.0","1,842.0","1,787.0","6.77M","-1.27%"
"Apr 28, 2014","1,815.0","1,820.0","1,826.0","1,793.0","6.47M","-1.14%"
"Apr 25, 2014","1,836.0","1,845.0","1,868.0","1,824.0","7.74M","-1.24%"
"Apr 24, 2014","1,859.0","1,925.0","1,930.0","1,841.0","11.53M","-3.13%"
"Apr 23, 2014","1,919.0","1,923.0","1,929.0","1,905.0","6.96M","1.05%"
"Apr 22, 2014","1,899.0","1,945.0","1,957.0","1,897.0","8.70M","-1.71%"
"Apr 21, 2014","1,932.0","1,931.0","1,954.0","1,930.0","5.04M","0.00%"
"Apr 18, 2014","1,932.0","1,920.0","1,934.0","1,912.0","5.42M","1.26%"
"Apr 17, 2014","1,908.0","1,922.0","1,929.0","1,896.0","8.03M","-0.78%"
"Apr 16, 2014","1,923.0","1,892.0","1,923.0","1,882.0","11.32M","2.34%"
"Apr 15, 2014","1,879.0","1,889.0","1,897.0","1,873.0","7.44M","0.48%"
"Apr 14, 2014","1,870.0","1,857.0","1,894.0","1,841.0","8.30M","-0.32%"
"Apr 11, 2014","1,876.0","1,844.0","1,892.0","1,835.0","11.92M","-0.16%"
"Apr 10, 2014","1,879.0","1,930.0","1,933.0","1,869.0","9.17M","-0.84%"
"Apr 09, 2014","1,895.0","1,928.0","1,947.0","1,876.0","14.49M","-3.37%"
"Apr 08, 2014","1,961.0","1,963.0","1,983.0","1,942.0","10.21M","-1.36%"
"Apr 07, 2014","1,988.0","1,978.0","2,000.0","1,961.0","9.69M","-0.30%"
"Apr 04, 2014","1,994.0","1,980.0","2,010.0","1,978.0","9.30M","0.15%"
"Apr 03, 2014","1,991.0","2,009.0","2,010.0","1,991.0","8.65M","0.05%"
"Apr 02, 2014","1,990.0","2,018.0","2,029.0","1,988.0","21.86M","-1.04%"
"Apr 01, 2014","2,011.0","1,993.0","2,030.0","1,986.0","28.50M","1.98%"
"Mar 31, 2014","1,972.0","1,920.0","1,985.0","1,919.0","29.06M","3.95%"
"Mar 28, 2014","1,897.0","1,864.0","1,905.0","1,860.0","11.24M","0.85%"
"Mar 27, 2014","1,881.0","1,838.0","1,890.0","1,805.0","14.54M","0.53%"
"Mar 26, 2014","1,871.0","1,852.0","1,874.0","1,851.0","15.54M","1.85%"
"Mar 25, 2014","1,837.0","1,790.0","1,845.0","1,772.0","12.31M","2.17%"
"Mar 24, 2014","1,798.0","1,815.0","1,824.0","1,797.0","12.13M","2.33%"
"Mar 20, 2014","1,757.0","1,765.0","1,784.0","1,737.0","16.52M","1.50%"
"Mar 19, 2014","1,731.0","1,736.0","1,756.0","1,713.0","10.61M","0.64%"
"Mar 18, 2014","1,720.0","1,754.0","1,756.0","1,714.0","7.72M","-0.46%"
"Mar 17, 2014","1,728.0","1,743.0","1,748.0","1,704.0","10.27M","-1.87%"
"Mar 14, 2014","1,761.0","1,782.0","1,794.0","1,758.0","14.00M","-4.24%"
"Mar 13, 2014","1,839.0","1,841.0","1,864.0","1,836.0","6.94M","-0.05%"
"Mar 12, 2014","1,840.0","1,839.0","1,859.0","1,836.0","9.56M","-1.45%"
"Mar 11, 2014","1,867.0","1,859.0","1,885.0","1,857.0","13.03M","0.16%"
"Mar 10, 2014","1,864.0","1,860.0","1,885.0","1,849.0","16.63M","1.08%"
"Mar 07, 2014","1,844.0","1,852.0","1,863.0","1,837.0","13.13M","1.04%"
"Mar 06, 2014","1,825.0","1,788.0","1,842.0","1,787.0","21.66M","2.36%"
"Mar 05, 2014","1,783.0","1,772.0","1,794.0","1,764.0","9.99M","2.12%"
"Mar 04, 2014","1,746.0","1,733.0","1,757.0","1,723.0","8.02M","-0.80%"
"Mar 03, 2014","1,760.0","1,738.0","1,762.0","1,720.0","9.14M","-1.12%"
"Feb 28, 2014","1,780.0","1,785.0","1,797.0","1,756.0","15.78M","1.31%"
"Feb 27, 2014","1,757.0","1,764.0","1,776.0","1,745.0","6.44M","-0.40%"
"Feb 26, 2014","1,764.0","1,765.0","1,790.0","1,758.0","8.48M","-0.11%"
"Feb 25, 2014","1,766.0","1,780.0","1,785.0","1,758.0","8.55M","-0.51%"
"Feb 24, 2014","1,775.0","1,764.0","1,795.0","1,753.0","11.39M","0.51%"
"Feb 21, 2014","1,766.0","1,755.0","1,779.0","1,748.0","13.56M","1.44%"
"Feb 20, 2014","1,741.0","1,749.0","1,758.0","1,737.0","9.80M","-0.40%"
"Feb 19, 2014","1,748.0","1,759.0","1,762.0","1,728.0","11.42M","-1.80%"
"Feb 18, 2014","1,780.0","1,720.0","1,784.0","1,720.0","14.82M","3.61%"
"Feb 17, 2014","1,718.0","1,722.0","1,725.0","1,678.0","11.21M","0.88%"
"Feb 14, 2014","1,703.0","1,742.0","1,765.0","1,672.0","14.28M","-1.50%"
"Feb 13, 2014","1,729.0","1,761.0","1,763.0","1,712.0","12.99M","-2.04%"
"Feb 12, 2014","1,765.0","1,735.0","1,768.0","1,725.0","20.73M","3.70%"
"Feb 10, 2014","1,702.0","1,711.0","1,737.0","1,688.0","18.04M","0.65%"
"Feb 07, 2014","1,691.0","1,680.0","1,707.0","1,651.0","33.12M","4.13%"
"Feb 06, 2014","1,624.0","1,603.0","1,627.0","1,581.0","11.84M","1.50%"
"Feb 05, 2014","1,600.0","1,630.0","1,650.0","1,569.0","21.49M","4.58%"
"Feb 04, 2014","1,530.0","1,520.0","1,554.0","1,514.0","18.10M","-3.23%"
"Feb 03, 2014","1,581.0","1,603.0","1,621.0","1,576.0","11.98M","-2.77%"
"Jan 31, 2014","1,626.0","1,655.0","1,665.0","1,609.0","12.35M","-1.51%"
"Jan 30, 2014","1,651.0","1,675.0","1,675.0","1,640.0","11.79M","-2.31%"
"Jan 29, 2014","1,690.0","1,690.0","1,694.0","1,676.0","9.97M","1.50%"
"Jan 28, 2014","1,665.0","1,675.0","1,708.0","1,644.0","23.66M","-2.69%"
"Jan 27, 2014","1,711.0","1,705.0","1,718.0","1,701.0","11.78M","-2.95%"
"Jan 24, 2014","1,763.0","1,739.0","1,786.0","1,730.0","13.66M","-0.06%"
"Jan 23, 2014","1,764.0","1,796.0","1,800.0","1,763.0","13.08M","0.46%"
"Jan 22, 2014","1,756.0","1,757.0","1,761.0","1,739.0","13.03M","-0.85%"
"Jan 21, 2014","1,771.0","1,765.0","1,785.0","1,765.0","6.77M","0.23%"
"Jan 20, 2014","1,767.0","1,784.0","1,792.0","1,762.0","9.81M","-0.73%"
"Jan 17, 2014","1,780.0","1,789.0","1,792.0","1,768.0","12.96M","-1.33%"
"Jan 16, 2014","1,804.0","1,818.0","1,847.0","1,797.0","13.31M","-0.22%"
"Jan 15, 2014","1,808.0","1,819.0","1,820.0","1,797.0","9.96M","0.84%"
"Jan 14, 2014","1,793.0","1,795.0","1,804.0","1,776.0","19.74M","-2.29%"
"Jan 10, 2014","1,835.0","1,870.0","1,883.0","1,832.0","25.88M","-3.12%"
"Jan 09, 2014","1,894.0","1,898.0","1,920.0","1,870.0","37.84M","3.78%"
"Jan 08, 2014","1,825.0","1,799.0","1,827.0","1,788.0","10.18M","1.39%"
"Jan 07, 2014","1,800.0","1,820.0","1,820.0","1,792.0","7.52M","-0.11%"
"Jan 06, 2014","1,802.0","1,815.0","1,830.0","1,787.0","10.11M","-1.31%"
"Dec 30, 2013","1,826.0","1,807.0","1,835.0","1,795.0","10.85M","2.30%"
"Dec 27, 2013","1,785.0","1,805.0","1,808.0","1,775.0","9.54M","-0.67%"
"Dec 26, 2013","1,797.0","1,800.0","1,801.0","1,782.0","7.76M","0.28%"
"Dec 25, 2013","1,792.0","1,800.0","1,807.0","1,783.0","8.42M","-0.67%"
"Dec 24, 2013","1,804.0","1,835.0","1,844.0","1,797.0","9.83M","-1.26%"
"Dec 20, 2013","1,827.0","1,823.0","1,834.0","1,818.0","11.08M","0.38%"
"Dec 19, 2013","1,820.0","1,803.0","1,829.0","1,799.0","17.40M","2.25%"
"Dec 18, 2013","1,780.0","1,766.0","1,788.0","1,766.0","10.54M","0.28%"
"Dec 17, 2013","1,775.0","1,795.0","1,798.0","1,760.0","10.13M","-1.06%"
"Dec 16, 2013","1,794.0","1,805.0","1,810.0","1,787.0","7.00M","-1.05%"
"Dec 13, 2013","1,813.0","1,814.0","1,832.0","1,802.0","11.92M","-0.28%"
"Dec 12, 2013","1,818.0","1,801.0","1,821.0","1,789.0","10.19M","-0.27%"
"Dec 11, 2013","1,823.0","1,822.0","1,841.0","1,811.0","10.43M","-0.16%"
"Dec 10, 2013","1,826.0","1,847.0","1,852.0","1,824.0","10.42M","-1.93%"
"Dec 09, 2013","1,862.0","1,863.0","1,867.0","1,853.0","7.76M","1.31%"
"Dec 06, 2013","1,838.0","1,820.0","1,843.0","1,808.0","9.82M","0.77%"
"Dec 05, 2013","1,824.0","1,841.0","1,861.0","1,820.0","12.05M","-1.14%"
"Dec 04, 2013","1,845.0","1,889.0","1,897.0","1,843.0","16.20M","-3.40%"
